dataset,backbone,horizon,seed,method,status,mse,mae,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,prediction_path,output_dir,test_threshold_leakage,blocker_reason
ECL,DLinear,720,2028,DishTS,completed,141171.90180785273,276.53443647447375,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_DLinear_720_seed2028/ECL_DLinear_720_DishTS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_DLinear_720_seed2028,False,
ECL,DLinear,720,2028,SAN,completed,140724.3462874469,278.21328866116,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_DLinear_720_seed2028/ECL_DLinear_720_SAN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_DLinear_720_seed2028,False,
ECL,DLinear,720,2028,NST,completed,141463.4866293497,277.1480259573024,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_DLinear_720_seed2028/ECL_DLinear_720_NST.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_DLinear_720_seed2028,False,
ECL,DLinear,720,2028,TAFAS,completed,128601.8204782887,265.97254114881736,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_DLinear_720_seed2028/ECL_DLinear_720_TAFAS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_DLinear_720_seed2028,False,
ECL,DLinear,720,2028,matched_sparse_smoothing,completed,130080.757223005,268.3286668552518,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_DLinear_720_seed2028/ECL_DLinear_720_matched_sparse_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_DLinear_720_seed2028,False,
ECL,DLinear,720,2028,naive_smoothing,completed,130080.757223005,268.3286668552518,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_DLinear_720_seed2028/ECL_DLinear_720_naive_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_DLinear_720_seed2028,False,
ECL,DLinear,720,2028,ema_smoothing,completed,153785.93750000655,297.95409399155136,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_DLinear_720_seed2028/ECL_DLinear_720_ema_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_DLinear_720_seed2028,False,
ECL,DLinear,720,2028,median_smoothing,completed,129057.51285084218,266.4770116715496,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_DLinear_720_seed2028/ECL_DLinear_720_median_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_DLinear_720_seed2028,False,
ECL,PatchTST,96,2026,raw_no_correction,completed,102627.07778955133,226.2282424235026,0.0,0.0,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/raw/ECL_PatchTST_96_seed2026/ECL_PatchTST_96_raw_no_correction.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ECL_PatchTST_96_seed2026,False,
ECL,PatchTST,96,2026,HalluGuard-LRBN,completed,97239.34529039297,225.67841896972655,-5.249815755454449,-0.2430392633059337,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/halluguard_lrbn/ECL_PatchTST_96_seed2026/ECL_PatchTST_96_unified_revin_rdn_hybrid.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ECL_PatchTST_96_seed2026,False,
